main_app-1  | 2026-07-15 09:08:11,964 - bot.scheduler - INFO - Running scheduled post monitoring...
main_app-1  | 2026-07-15 09:08:11,967 - bot.scheduler - WARNING - Found 1 overdue posts
main_app-1  | 2026-07-15 09:08:11,967 - bot.scheduler - ERROR - Post 5600 has no scheduled job - rescheduling
main_app-1  | 2026-07-15 09:08:11,967 - apscheduler.scheduler - INFO - Added job "PostScheduler._post_to_channel" to job store "default"
main_app-1  | 2026-07-15 09:08:11,967 - bot.scheduler - INFO - Scheduled post 5600 for 2026-07-15 12:08:21.967528+03:00
main_app-1  | 2026-07-15 09:08:11,970 - bot.database - INFO - Updated scheduled time for post 5600 to 2026-07-15 12:08:21.967528+03:00
main_app-1  | 2026-07-15 09:08:12,120 - bot.scheduler - INFO - Post monitor completed. Active jobs: 117, Overdue posts: 1
main_app-1  | 2026-07-15 09:08:12,121 - apscheduler.executors.default - INFO - Job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 12:13:11 EEST)" executed successfully
main_app-1  | 2026-07-15 09:08:21,968 - apscheduler.scheduler - INFO - Removed job post_5600
main_app-1  | 2026-07-15 09:08:21,968 - apscheduler.executors.default - INFO - Running job "PostScheduler._post_to_channel (trigger: date[2026-07-15 12:08:21 EEST], next run at: 2026-07-15 12:08:21 EEST)" (scheduled at 2026-07-15 12:08:21.967528+03:00)
main_app-1  | 2026-07-15 09:08:22,970 - bot.scheduler - INFO - Post 5600: Retrieved description='Тепло і запах багаття 🥰', entities=0
main_app-1  | 2026-07-15 09:08:22,971 - apscheduler.executors.default - INFO - Job "PostScheduler._post_to_channel (trigger: date[2026-07-15 12:08:21 EEST], next run at: 2026-07-15 12:08:21 EEST)" executed successfully
main_app-1  | 2026-07-15 09:13:11,975 - apscheduler.executors.default - INFO - Running job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 12:18:11 EEST)" (scheduled at 2026-07-15 12:13:11.963649+03:00)
main_app-1  | 2026-07-15 09:13:11,975 - bot.scheduler - INFO - Running scheduled post monitoring...
main_app-1  | 2026-07-15 09:13:11,981 - bot.scheduler - WARNING - Found 1 overdue posts
main_app-1  | 2026-07-15 09:13:11,981 - bot.scheduler - ERROR - Post 5600 has no scheduled job - rescheduling
main_app-1  | 2026-07-15 09:13:11,982 - apscheduler.scheduler - INFO - Added job "PostScheduler._post_to_channel" to job store "default"
main_app-1  | 2026-07-15 09:13:11,982 - bot.scheduler - INFO - Scheduled post 5600 for 2026-07-15 12:13:21.981682+03:00
main_app-1  | 2026-07-15 09:13:11,985 - bot.database - INFO - Updated scheduled time for post 5600 to 2026-07-15 12:13:21.981682+03:00
main_app-1  | 2026-07-15 09:13:12,168 - bot.scheduler - INFO - Post monitor completed. Active jobs: 117, Overdue posts: 1
main_app-1  | 2026-07-15 09:13:12,169 - apscheduler.executors.default - INFO - Job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 12:18:11 EEST)" executed successfully
main_app-1  | 2026-07-15 09:13:21,988 - apscheduler.scheduler - INFO - Removed job post_5600
main_app-1  | 2026-07-15 09:13:21,988 - apscheduler.executors.default - INFO - Running job "PostScheduler._post_to_channel (trigger: date[2026-07-15 12:13:21 EEST], next run at: 2026-07-15 12:13:21 EEST)" (scheduled at 2026-07-15 12:13:21.981682+03:00)
main_app-1  | 2026-07-15 09:13:22,990 - bot.scheduler - INFO - Post 5600: Retrieved description='Тепло і запах багаття 🥰', entities=0
main_app-1  | 2026-07-15 09:13:22,990 - apscheduler.executors.default - INFO - Job "PostScheduler._post_to_channel (trigger: date[2026-07-15 12:13:21 EEST], next run at: 2026-07-15 12:13:21 EEST)" executed successfully
main_app-1  | 2026-07-15 09:18:11,973 - apscheduler.executors.default - INFO - Running job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 12:23:11 EEST)" (scheduled at 2026-07-15 12:18:11.963649+03:00)
main_app-1  | 2026-07-15 09:18:11,973 - bot.scheduler - INFO - Running scheduled post monitoring...
main_app-1  | 2026-07-15 09:18:11,976 - bot.scheduler - WARNING - Found 1 overdue posts
main_app-1  | 2026-07-15 09:18:11,976 - bot.scheduler - ERROR - Post 5600 has no scheduled job - rescheduling
main_app-1  | 2026-07-15 09:18:11,977 - apscheduler.scheduler - INFO - Added job "PostScheduler._post_to_channel" to job store "default"
main_app-1  | 2026-07-15 09:18:11,977 - bot.scheduler - INFO - Scheduled post 5600 for 2026-07-15 12:18:21.977014+03:00
main_app-1  | 2026-07-15 09:18:11,980 - bot.database - INFO - Updated scheduled time for post 5600 to 2026-07-15 12:18:21.977014+03:00
main_app-1  | 2026-07-15 09:18:12,126 - bot.scheduler - INFO - Post monitor completed. Active jobs: 117, Overdue posts: 1
main_app-1  | 2026-07-15 09:18:12,127 - apscheduler.executors.default - INFO - Job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 12:23:11 EEST)" executed successfully
main_app-1  | 2026-07-15 09:18:21,987 - apscheduler.scheduler - INFO - Removed job post_5600
main_app-1  | 2026-07-15 09:18:21,987 - apscheduler.executors.default - INFO - Running job "PostScheduler._post_to_channel (trigger: date[2026-07-15 12:18:21 EEST], next run at: 2026-07-15 12:18:21 EEST)" (scheduled at 2026-07-15 12:18:21.977014+03:00)
main_app-1  | 2026-07-15 09:18:22,989 - bot.scheduler - INFO - Post 5600: Retrieved description='Тепло і запах багаття 🥰', entities=0
main_app-1  | 2026-07-15 09:18:22,990 - apscheduler.executors.default - INFO - Job "PostScheduler._post_to_channel (trigger: date[2026-07-15 12:18:21 EEST], next run at: 2026-07-15 12:18:21 EEST)" executed successfully
main_app-1  | 2026-07-15 09:23:11,973 - apscheduler.executors.default - INFO - Running job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 12:28:11 EEST)" (scheduled at 2026-07-15 12:23:11.963649+03:00)
main_app-1  | 2026-07-15 09:23:11,973 - bot.scheduler - INFO - Running scheduled post monitoring...
main_app-1  | 2026-07-15 09:23:11,978 - bot.scheduler - WARNING - Found 1 overdue posts
main_app-1  | 2026-07-15 09:23:11,978 - bot.scheduler - ERROR - Post 5600 has no scheduled job - rescheduling
main_app-1  | 2026-07-15 09:23:11,978 - apscheduler.scheduler - INFO - Added job "PostScheduler._post_to_channel" to job store "default"
main_app-1  | 2026-07-15 09:23:11,979 - bot.scheduler - INFO - Scheduled post 5600 for 2026-07-15 12:23:21.978431+03:00
main_app-1  | 2026-07-15 09:23:11,981 - bot.database - INFO - Updated scheduled time for post 5600 to 2026-07-15 12:23:21.978431+03:00
main_app-1  | 2026-07-15 09:23:12,129 - bot.scheduler - INFO - Post monitor completed. Active jobs: 117, Overdue posts: 1
main_app-1  | 2026-07-15 09:23:12,130 - apscheduler.executors.default - INFO - Job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 12:28:11 EEST)" executed successfully
main_app-1  | 2026-07-15 09:23:21,986 - apscheduler.scheduler - INFO - Removed job post_5600
main_app-1  | 2026-07-15 09:23:21,987 - apscheduler.executors.default - INFO - Running job "PostScheduler._post_to_channel (trigger: date[2026-07-15 12:23:21 EEST], next run at: 2026-07-15 12:23:21 EEST)" (scheduled at 2026-07-15 12:23:21.978431+03:00)
main_app-1  | 2026-07-15 09:23:22,989 - bot.scheduler - INFO - Post 5600: Retrieved description='Тепло і запах багаття 🥰', entities=0
main_app-1  | 2026-07-15 09:23:22,989 - apscheduler.executors.default - INFO - Job "PostScheduler._post_to_channel (trigger: date[2026-07-15 12:23:21 EEST], next run at: 2026-07-15 12:23:21 EEST)" executed successfully
main_app-1  | 2026-07-15 09:28:11,968 - apscheduler.executors.default - INFO - Running job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 12:33:11 EEST)" (scheduled at 2026-07-15 12:28:11.963649+03:00)
main_app-1  | 2026-07-15 09:28:11,968 - bot.scheduler - INFO - Running scheduled post monitoring...
main_app-1  | 2026-07-15 09:28:11,973 - bot.scheduler - WARNING - Found 1 overdue posts
main_app-1  | 2026-07-15 09:28:11,973 - bot.scheduler - ERROR - Post 5600 has no scheduled job - rescheduling
main_app-1  | 2026-07-15 09:28:11,973 - apscheduler.scheduler - INFO - Added job "PostScheduler._post_to_channel" to job store "default"
main_app-1  | 2026-07-15 09:28:11,973 - bot.scheduler - INFO - Scheduled post 5600 for 2026-07-15 12:28:21.973217+03:00
main_app-1  | 2026-07-15 09:28:11,977 - bot.database - INFO - Updated scheduled time for post 5600 to 2026-07-15 12:28:21.973217+03:00
main_app-1  | 2026-07-15 09:28:12,119 - bot.scheduler - INFO - Post monitor completed. Active jobs: 117, Overdue posts: 1
main_app-1  | 2026-07-15 09:28:12,119 - apscheduler.executors.default - INFO - Job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 12:33:11 EEST)" executed successfully
main_app-1  | 2026-07-15 09:28:21,981 - apscheduler.scheduler - INFO - Removed job post_5600
main_app-1  | 2026-07-15 09:28:21,981 - apscheduler.executors.default - INFO - Running job "PostScheduler._post_to_channel (trigger: date[2026-07-15 12:28:21 EEST], next run at: 2026-07-15 12:28:21 EEST)" (scheduled at 2026-07-15 12:28:21.973217+03:00)
main_app-1  | 2026-07-15 09:28:22,983 - bot.scheduler - INFO - Post 5600: Retrieved description='Тепло і запах багаття 🥰', entities=0
main_app-1  | 2026-07-15 09:28:22,984 - apscheduler.executors.default - INFO - Job "PostScheduler._post_to_channel (trigger: date[2026-07-15 12:28:21 EEST], next run at: 2026-07-15 12:28:21 EEST)" executed successfully
main_app-1  | 2026-07-15 09:33:11,966 - apscheduler.executors.default - INFO - Running job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 12:38:11 EEST)" (scheduled at 2026-07-15 12:33:11.963649+03:00)
main_app-1  | 2026-07-15 09:33:11,966 - bot.scheduler - INFO - Running scheduled post monitoring...
main_app-1  | 2026-07-15 09:33:11,972 - bot.scheduler - WARNING - Found 1 overdue posts
main_app-1  | 2026-07-15 09:33:11,972 - bot.scheduler - ERROR - Post 5600 has no scheduled job - rescheduling
main_app-1  | 2026-07-15 09:33:11,973 - apscheduler.scheduler - INFO - Added job "PostScheduler._post_to_channel" to job store "default"
main_app-1  | 2026-07-15 09:33:11,973 - bot.scheduler - INFO - Scheduled post 5600 for 2026-07-15 12:33:21.972843+03:00
main_app-1  | 2026-07-15 09:33:11,975 - bot.database - INFO - Updated scheduled time for post 5600 to 2026-07-15 12:33:21.972843+03:00
main_app-1  | 2026-07-15 09:33:12,217 - bot.scheduler - INFO - Post monitor completed. Active jobs: 117, Overdue posts: 1
main_app-1  | 2026-07-15 09:33:12,217 - apscheduler.executors.default - INFO - Job "PostScheduler._monitor_scheduled_posts (trigger: interval[0:05:00], next run at: 2026-07-15 12:38:11 EEST)" executed successfully
main_app-1  | 2026-07-15 09:33:21,978 - apscheduler.scheduler - INFO - Removed job post_5600
main_app-1  | 2026-07-15 09:33:21,979 - apscheduler.executors.default - INFO - Running job "PostScheduler._post_to_channel (trigger: date[2026-07-15 12:33:21 EEST], next run at: 2026-07-15 12:33:21 EEST)" (scheduled at 2026-07-15 12:33:21.972843+03:00)
